calories,total_fat,saturated_fat,cholesterol,sodium,calcium,fat,name
381,0.1,0,0,9,2,0.05,Rice Dal lentils Fish curry
691,72,6.2,0,0,70,71.97,Roti flatbread Chicken curry Mixed vegetable sabzi
25,0.2,0,0,2,9,0.18,Khichuri rice and lentil porridge Aloo bhaja fried potatoes Fish fry
367,2.4,0.4,0,12,180,2.38,Luchi deep-fried flatbread Aloo dum spiced potato curry Cholar dal Bengal gram lentils
144,2,1.2,1,46,54,2,Steamed rice Shorshe Ilish Hilsa fish in mustard sauce Bhindi bhaja fried okra
25,0.3,0.1,0,30,22,0.28,Paratha layered flatbread Mutton curry Baingan bhaja fried eggplant
42,0.7,0.2,0,3,107,0.74,Panta bhat fermented rice soaked in water Shorshe Maach mustard fish Potato mash
282,23,10,73,59,16,23.41,Rice Lau Ghonto bottle gourd curry Bhapa Maach steamed fish
300,24,15,72,842,388,24.26,Radhaballavi stuffed lentil puri Chholar dal Aloo posto potatoes in poppy seed paste
290,18,2.8,0,490,95,18,Vegetable pulao Chicken rezala Raita
25,0,0,0,781,0,0,Rice Shorshe Posto Bata Diye Bhetki mustard-poppy seed paste fish Tomato chutney
349,0.4,0,0,298,190,0.39,Panta Ilish fermented rice with Hilsa fish Shingara samosa Chingri bhaja fried shrimp
51,0.1,0,0,5,17,0.06,Paratha Niramish Aloo Dum vegetarian spiced potato curry Gobi Manchurian
407,7.2,1.4,78,253,27,7.2,Rice Doi Maach fish in yogurt curry Bandhakopir torkari cabbage curry
215,15,3.9,84,67,88,14.6,Mutton biryani Raita Keema matar minced meat with peas
134,4.5,1.3,70,51,13,4.53,Roti Bhindi do pyaza Palak paneer
316,16,2.5,0,374,22,16.1,Biryani Kosha Mangsho slow-cooked mutton Egg curry
29,0.4,0.1,0,3,12,0.37,Rice Shorshe Bhapa Chingri mustard-steamed prawns Kacha aam er chatni raw mango chutney
148,0.9,0.2,0,35,30,0.9,Radhaballavi Chanar dalna cottage cheese curry Bhaja mulo fried radish
172,9.2,2.8,76,1107,40,9.21,Chapati Bhindi masala Rajma chawal
57,0.5,0,0,1,37,0.47,Vegetable biryani Rajma curry Boondi raita
182,1.7,0.3,0,7,2,1.68,Rice Maacher tel jhal spicy fish curry Aloo fulkopi bhaja fried potatoes with cauliflower
272,5.9,3.3,0,24,2132,5.91,Chapati Gobi paratha Dum aloo
516,33,4.7,0,167,639,33.3,Khichdi Labra mixed vegetable curry Fish curry
201,15,9.1,54,359,148,15.28,Rice Shorshe Posto Diye Rui Maach rohu fish in mustard and poppy seed paste Kachumber salad
25,0,0,0,0,0,0,Paratha Baingan masala Rajma chawal
270,0,0,0,9,109,0,Luchi Chholar dal Alur torkari potato curry
119,3,1.2,75,81,6,2.95,Rice Bhapa Shorshe Maach steamed mustard fish Kakrol bhaja stir-fried teasel gourd
268,0.4,0.1,0,7,20,0.4,Chapati Malai kofta Aloo methi sabzi potatoes with fenugreek
673,68,4.9,0,2,16,68.37,Biryani Keema curry Onion raita
371,1.5,0.3,0,6,21,1.51,Rice Ilish bhapa steamed Hilsa fish Shojne daata diye moong dal
20,0.2,0,0,12,24,0.19,Radhaballavi Aloo dum Lau chingri bottle gourd with prawns
406,11,5.3,0,370,0,10.58,Paratha Baingan bharta Mix vegetable raita
30,0.8,0.1,0,7,105,0.76,Luchi Aloo posto Chana masala
271,16,2.3,0,580,19,16.3,Rice Pabda fish curry Potol bhaja fried pointed gourd
68,0.2,0,0,14,417,0.15,Chapati Methi aloo Gajar matar sabzi carrot and pea curry
103,0.5,0.1,78,100,3,0.48,Biryani Chicken rezala Pineapple raita
576,50,5.7,0,38,1,50,Roti Lauki ke kofte bottle gourd dumplings in tomato gravy Baingan bharta
283,0.3,0,0,8,86,0.27,Vegetable pulao Kadai paneer Cucumber tomato salad
106,0.6,0.1,0,11,25,0.55,Rice Shrimp curry Jhinge aloo posto ridge gourd with potatoes in poppy seed paste
322,3,1.9,2,4186,280,3,Paratha Methi thepla Aloo matar curry
316,16,2.5,0,333,22,16.1,Radhaballavi Aloo bhaja Tomato khejur chutney
384,3.1,0.5,0,288,9,3.1,Chapati Paneer tikka masala Bhindi masala
383,11,3.8,0,447,105,10.53,Luchi Sorshe Shorshe mustard-flavored curry Moong dal
108,2.4,0.6,50,71,21,2.41,Rice Shorshe Posto Bata Diye Ilish Bhapa Hilsa fish in poppy seed paste Bitter gourd fry
47,0,0,0,8,12,0,Biryani Chicken curry Mutton curry
43,0.3,0.1,0,25,42,0.3,Roti Gobi paratha Dum aloo
33,0.5,0.1,0,56,118,0.52,Khichdi Begun bhaja Mutton curry
876,99,62,256,2,4,99.48,Biryani Keema curry Onion raita
